Quote No.;Status;Status Reason;Quote Date;CRM-Status;Customer No.;ZIP;Date for Follow-Up;Followed up on;Person in Charge; Value of Quotation ;Probability (%);Order No.;Responsible;Representative;Customer Ref.;Prod. Category (Text);Prod. Master Class (Text);Scoring Automation;Scoring Tool- & Workholding
1027588;4) Order received;Order is entered;20.02.2026;4) Buying customer;1170;973 47;;;1; 1 590 kr ;100%;116910;Sales representative;104;RFQ IR1782018;3 - Automation Standard;3RK;4 - Casual customer;4 - Casual customer
1027589;4) Order received;Order is entered;20.02.2026;4) Buying customer;4356;594 72;;;3; 55 040 kr ;100%;116931;Sales representative;118;Offert;3 - Automation Standard;3MS;2 - Prospect customer;2 - Prospect customer
1027591;2) Quote is ready;Quotation is ready;20.02.2026;5) Lost customer;51885;352 45;25.02.2026;;1; 10 200 kr ;100%;;Sales representative;105;AGE-F-XY;3 - Automation Standard;3RA -;4 - Casual customer;4 - Casual customer
1027584;2) Quote is ready;Quotation is ready;20.02.2026;4) Buying customer;1640;392 39;25.02.2026;;3; 617 400 kr ;100%;;Sales representative;111;Offert;8 - Lathe Chucks;810 - Manual Chucks;2 - Prospect customer;1 - Top customer
1027585;2) Quote is ready;Quotation is ready;20.02.2026;4) Buying customer;1167;524 42;25.02.2026;;4; 9 280 kr ;100%;;Sales representative;109;PGN+100;3 - Automation Standard;3GP - Gripping Modules pneumatic;4 - Casual customer;2 - Prospect customer
1027586;2) Quote is ready;Quotation is ready;20.02.2026;4) Buying customer;2320;523 38;25.02.2026;;2; 7 410 kr ;100%;;Sales representative;109;Krocksensor;3 - Automation Standard;3SO - Service Automation Components;2 - Prospect customer;4 - Casual customer
1027587;2) Quote is ready;Quotation is ready;20.02.2026;4) Buying customer;1049;461 81;25.02.2026;;0; 68 457 kr ;100%;;Sales representative;109;RE: ISO 9409-1-50-4-M6 RE;3 - Automation Standard;3RW;2 - Prospect customer;2 - Prospect customer
1027581;2) Quote is ready;Quotation is ready;19.02.2026;4) Buying customer;50179;125 44;24.02.2026;;3; 1 004 kr ;100%;;Sales representative;104;Offert;3 - Automation Standard;3ZO - Accessories Automation;4 - Casual customer;4 - Casual customer
1027582;2) Quote is ready;Quotation is ready;19.02.2026;5) Lost customer;4094;691 37;24.02.2026;;0; 326 kr ;100%;;Sales representative;104;Sv: D sub;3 - Automation Standard;3RW;4 - Casual customer;4 - Casual customer
1027583;4) Order received;Order is entered;19.02.2026;4) Buying customer;1020;151 38;;;3; 6 556 kr ;100%;116880;Sales representative;106;1781405;3 - Automation Standard;3ZO - Accessories Automation;1 - Top customer;1 - Top customer
1027576;3) Quote follow up done;Quotation is pending;19.02.2026;4) Buying customer;1023;737 30;27.03.2026;20.02.2026;1; 143 kr ;50%;;Sales representative;103;New Quotation 0000371783/1;2 - Toolholding Systems;2TS - TENDO;4 - Casual customer;2 - Prospect customer
1027577;2) Quote is ready;Quotation is ready;19.02.2026;4) Buying customer;50645;632 17;24.02.2026;;3; 647 kr ;100%;;Sales representative;104;RC 321125;3 - Automation Standard;3ZO - Accessories Automation;4 - Casual customer;4 - Casual customer
1027578;2) Quote is ready;Quotation is ready;19.02.2026;4) Buying customer;1612;531 60;24.02.2026;;3; 37 060 kr ;100%;;Sales representative;109;2260121;3 - Automation Standard;3DP - Rotary Modules pneumatic;2 - Prospect customer;4 - Casual customer
1027579;4) Order received;Order is entered;19.02.2026;4) Buying customer;1627;702 15;;;3; 5 630 kr ;100%;116889;Sales representative;103;Offert;2 - Toolholding Systems;2TS - TENDO;4 - Casual customer;2 - Prospect customer
1027580;4) Order received;Order is entered;19.02.2026;4) Buying customer;3194;633 46;;;3; 624 kr ;100%;116879;Sales representative;104;Offert;3 - Automation Standard;3SO - Service Automation Components;4 - Casual customer;2 - Prospect customer
1027571;4) Order received;Order is entered;19.02.2026;4) Buying customer;1036;572 36;;;2; 1 224 kr ;100%;116856;Sales representative;106;1781631;3 - Automation Standard;3MS;2 - Prospect customer;4 - Casual customer
1027572;2) Quote is ready;Quotation is ready;19.02.2026;4) Buying customer;1023;737 30;24.02.2026;;2; 32 136 kr ;100%;;Sales representative;103;0000374651/1;2 - Toolholding Systems;2TS - TENDO;4 - Casual customer;2 - Prospect customer
1027573;2) Quote is ready;Quotation is ready;19.02.2026;5) Lost customer;2495;371 50;24.02.2026;;1; 1 850 kr ;100%;;Sales representative;111;Gripinsatser HS 6;1 - Chuck Jaws;1XS - Jaws Special;4 - Casual customer;4 - Casual customer
1027574;4) Order received;Order is entered;19.02.2026;4) Buying customer;1259;151 87;;;3; 1 298 kr ;100%;116872;Sales representative;106;Offert;3 - Automation Standard;3SO - Service Automation Components;2 - Prospect customer;2 - Prospect customer
1027575;2) Quote is ready;Quotation is ready;19.02.2026;4) Buying customer;1049;461 81;24.02.2026;;1; 57 528 kr ;100%;;Sales representative;109;Toolchanging CBP050;3 - Automation Standard;3RW;2 - Prospect customer;2 - Prospect customer
1027497;3) Quote follow up done;Order should come;19.02.2026;4) Buying customer;1660;731 50;05.03.2026;19.02.2026;5; 678 584 kr ;99%;;Sales representative;104;5895/A25025 kartonerare;5 - Automation System Solutions;5BL - Assembly Groups;1 - Top customer;4 - Casual customer
1027560;3) Quote follow up done;Quotation is pending;18.02.2026;4) Buying customer;1026;731 36;16.03.2026;23.02.2026;3; 14 352 kr ;85%;;Sales representative;104;Offert;3 - Automation Standard;3RA -;1 - Top customer;2 - Prospect customer
1027561;4) Order received;Order is entered;18.02.2026;4) Buying customer;51658;821 91;;;2; 11 484 kr ;100%;116866;Sales representative;103;Offert;2 - Toolholding Systems;2TS - TENDO;4 - Casual customer;4 - Casual customer
1027562;3) Quote follow up done;Quotation is pending;18.02.2026;4) Buying customer;53089;721 37;;18.02.2026;1; 24 390 kr ;50%;;Sales representative;104;PGN-plus-P 240-1-AS-V;3 - Automation Standard;3GP - Gripping Modules pneumatic;4 - Casual customer;4 - Casual customer
1002192;4) Order received;Order is entered;18.02.2026;4) Buying customer;1013;679;;;6; 32 677 kr ;100%;6904;Sales representative;202;5964_AU_JS_EGE_ROTA NCE 165;8 - Lathe Chucks;8XS - Power Chucks Standard;4 - Casual customer;2 - Prospect customer
1027563;3) Quote follow up done;Quotation is pending;18.02.2026;4) Buying customer;1536;342 32;18.03.2026;18.02.2026;6; 99 350 kr ;50%;;Sales representative;111;5963_AU_JR_EKETS_Backar Röhm;1 - Chuck Jaws;1XO - Jaws Standard;4 - Casual customer;4 - Casual customer
1002193;2) Quote is ready;Quotation is ready;18.02.2026;4) Buying customer;1013;679;23.02.2026;;2; 18 200 kr ;100%;;Sales representative;202;Tilbud;2 - Toolholding Systems;2ZA - Accessories;4 - Casual customer;2 - Prospect customer
1027565;3) Quote follow up done;Quotation is pending;18.02.2026;4) Buying customer;50889;441 39;23.03.2026;23.02.2026;6; 127 581 kr ;50%;;Sales representative;107;5966_AU_JS_Lenima_Chuckar;8 - Lathe Chucks;8XS - Power Chucks Standard;4 - Casual customer;2 - Prospect customer
1027568;2) Quote is ready;Quotation is ready;18.02.2026;4) Buying customer;2805;541 34;23.02.2026;;2; 7 547 kr ;100%;;Sales representative;109;M4105591 - 579;3 - Automation Standard;3GP - Gripping Modules pneumatic;1 - Top customer;2 - Prospect customer
1027570;4) Order received;Order is entered;18.02.2026;4) Buying customer;2805;541 34;;;1; 39 223 kr ;100%;116853;Sales representative;109;M5F79510-035;3 - Automation Standard;3GP - Gripping Modules pneumatic;1 - Top customer;2 - Prospect customer
1027567;3) Quote follow up done;Quotation is pending;18.02.2026;4) Buying customer;1655;341 32;25.03.2026;19.02.2026;6; 17 015 kr ;50%;;Sales representative;111;5966_AU_JS_Lenima_Chuckar;1 - Chuck Jaws;1XO - Jaws Standard;4 - Casual customer;2 - Prospect customer
1027551;4) Order received;Order is entered;17.02.2026;4) Buying customer;53088;352 35;;17.02.2026;2; 963 kr ;100%;116799;Sales representative;105;Schmalz;3 - Automation Standard;3MS;4 - Casual customer;4 - Casual customer
1027552;5) Quote not realized;Quote for information purposes;17.02.2026;5) Lost customer;4200;504 64;;;3; 40 440 kr ;100%;;Sales representative;107;Offert;4 - Stationary Workholding;401 - Clamping systems Std.;4 - Casual customer;2 - Prospect customer
1027553;4) Order received;Order is entered;17.02.2026;4) Buying customer;50958;331 71;;;3; 8 980 kr ;100%;116825;Sales representative;105;Offert;3 - Automation Standard;3GP - Gripping Modules pneumatic;4 - Casual customer;4 - Casual customer
1027554;3) Quote follow up done;Quotation is pending;17.02.2026;4) Buying customer;1343;461 82;27.02.2026;20.02.2026;4; 208 526 kr ;75%;;Sales representative;107;5946_FW_AEK_Parker Tro;2 - Toolholding Systems;2XO - Hydraulics Special;2 - Prospect customer;1 - Top customer
1027555;4) Order received;Order is entered;17.02.2026;4) Buying customer;1411;361 31;;;3; 370 kr ;100%;116816;Sales representative;111;Offert;1 - Chuck Jaws;1XS - Jaws Special;4 - Casual customer;2 - Prospect customer
1027556;4) Order received;Order is entered;17.02.2026;4) Buying customer;4043;653 36;;;2; 19 900 kr ;100%;116810;Sales representative;104;Offert;3 - Automation Standard;3GP - Gripping Modules pneumatic;4 - Casual customer;4 - Casual customer
1027557;5) Quote not realized;Quote for information purposes;17.02.2026;4) Buying customer;1996;335 31;;;3; 353 kr ;50%;;Sales representative;105;Offert;3 - Automation Standard;3MS;4 - Casual customer;2 - Prospect customer
1027558;4) Order received;Order is entered;17.02.2026;4) Buying customer;50234;702 36;;20.02.2026;1; 64 850 kr ;79%;116924;Sales representative;103;Offert;4 - Stationary Workholding;401 - Clamping systems Std.;4 - Casual customer;4 - Casual customer
1027559;4) Order received;Order is entered;17.02.2026;4) Buying customer;1020;151 38;;;3; 595 kr ;100%;116820;Sales representative;106;1780558;3 - Automation Standard;3ZO - Accessories Automation;1 - Top customer;1 - Top customer
1027173;3) Quote follow up done;Quotation is pending;17.02.2026;4) Buying customer;1209;813 91;20.02.2026;20.01.2026;6; 543 780 kr ;50%;;Sales representative;103;5871/AU/JS/Ovako/Backar;1 - Chuck Jaws;1XO - Jaws Standard;4 - Casual customer;4 - Casual customer
1027527;3) Quote follow up done;Quotation is pending;16.02.2026;4) Buying customer;1026;731 36;06.03.2026;20.02.2026;6; 233 535 kr ;100%;;Sales representative;103;5950_FW_JS_Volvo Powertrain_TH;1 - Chuck Jaws;1XS - Jaws Special;1 - Top customer;2 - Prospect customer
1027544;3) Quote follow up done;Quotation is pending;16.02.2026;4) Buying customer;1141;737 30;02.03.2026;23.02.2026;1; 9 240 kr ;50%;;Sales representative;103;Tendo Hylsor;2 - Toolholding Systems;2ZB - Intermediate Sleeve;2 - Prospect customer;2 - Prospect customer
1027546;4) Order received;Order is entered;16.02.2026;4) Buying customer;1243;415 50;;;3; 36 000 kr ;100%;116809;Sales representative;107;Offert;1 - Chuck Jaws;1XS - Jaws Special;1 - Top customer;2 - Prospect customer
1027548;4) Order received;Order is entered;16.02.2026;4) Buying customer;1554;652 21;;;2; 1 337 kr ;100%;116789;Sales representative;103;Offert;1 - Chuck Jaws;1XS - Jaws Special;4 - Casual customer;2 - Prospect customer
1027547;5) Quote not realized;Quote for information purposes;16.02.2026;4) Buying customer;1167;524 42;;;3; 9 300 kr ;100%;;Sales representative;107;Offert;1 - Chuck Jaws;1XS - Jaws Special;4 - Casual customer;2 - Prospect customer
1027549;4) Order received;Order is entered;16.02.2026;4) Buying customer;1996;335 31;;;2; 12 172 kr ;100%;116836;Sales representative;105;Offert;3 - Automation Standard;3RW;4 - Casual customer;2 - Prospect customer
1027094;3) Quote follow up done;Quotation is pending;16.02.2026;5) Lost customer;1653;554 54;27.03.2026;17.02.2026;4; 437 229 kr ;50%;;Sales representative;102;Okuma Multus U4000-2SW;8 - Lathe Chucks;8XS - Power Chucks Standard;2 - Prospect customer;2 - Prospect customer
1027538;3) Quote follow up done;Quotation is pending;13.02.2026;4) Buying customer;1554;652 21;27.02.2026;20.02.2026;2; 51 750 kr ;50%;;Sales representative;103;IFT;8 - Lathe Chucks;8XS - Power Chucks Standard;4 - Casual customer;2 - Prospect customer
1002190;2) Quote is ready;Quotation is ready;13.02.2026;4) Buying customer;1013;679;19.02.2026;;2; 8 874 kr ;100%;;Sales representative;202;Tilbud;1 - Chuck Jaws;1XS - Jaws Special;4 - Casual customer;2 - Prospect customer
1027540;4) Order received;Order is entered;13.02.2026;4) Buying customer;1020;151 38;;;3; 127 620 kr ;100%;116764;Sales representative;106;1779780;5 - Automation System Solutions;5SK - Special components;1 - Top customer;1 - Top customer
1027539;3) Quote follow up done;Quotation is pending;13.02.2026;4) Buying customer;50565;331 34;19.03.2026;19.02.2026;6; 566 856 kr ;50%;;Sales representative;102;5959_AU_RC_Ravema_Rota NC+ 2 4;8 - Lathe Chucks;8XS - Power Chucks Standard;4 - Casual customer;4 - Casual customer
1027541;2) Quote is ready;Quotation is ready;13.02.2026;3) Qualified potential customer;51431;330 12;19.02.2026;;0; 35 827 kr ;100%;;Sales representative;105;RE: Pneumatiskt gripdon;3 - Automation Standard;3GP - Gripping Modules pneumatic;4 - Casual customer;4 - Casual customer
1027543;3) Quote follow up done;Quotation is pending;13.02.2026;4) Buying customer;1038;747 44;19.03.2026;19.02.2026;6; 172 340 kr ;50%;;Sales representative;103;5859/AU/JS/Sandvik/Hållare;2 - Toolholding Systems;2XO - Hydraulics Special;2 - Prospect customer;1 - Top customer
1027458;4) Order received;Order is entered;13.02.2026;4) Buying customer;50558;721 30;;09.02.2026;1; 48 983 kr ;90%;116775;Sales representative;104;PGZN+;3 - Automation Standard;3GP - Gripping Modules pneumatic;4 - Casual customer;4 - Casual customer
1027503;4) Order received;Order is entered;12.02.2026;4) Buying customer;51085;521 51;;;3; 18 308 kr ;100%;116746;Sales representative;109;Offert;3 - Automation Standard;3GP - Gripping Modules pneumatic;2 - Prospect customer;2 - Prospect customer
1027531;4) Order received;Order is entered;12.02.2026;4) Buying customer;1020;151 38;;;1; 9 393 kr ;100%;116734;Sales representative;106;RFQ IR1779394;3 - Automation Standard;3GP - Gripping Modules pneumatic;1 - Top customer;1 - Top customer
1027533;4) Order received;Order is entered;12.02.2026;4) Buying customer;1090;442 60;;;1; 16 376 kr ;100%;116863;Sales representative;107;TENDO EC HSK-A 63 Ø3/4€X130;2 - Toolholding Systems;2TS - TENDO;4 - Casual customer;2 - Prospect customer
1027532;3) Quote follow up done;Quotation is pending;12.02.2026;4) Buying customer;3549;736 92;27.02.2026;20.02.2026;3; 31 370 kr ;100%;;Sales representative;103;Offert;4 - Stationary Workholding;403 - Quick change pallet syst. Std.;4 - Casual customer;4 - Casual customer
1027534;3) Quote follow up done;Quotation is pending;12.02.2026;4) Buying customer;2136;914 91;18.03.2026;16.02.2026;7; 79 420 kr ;70%;;Sales representative;104;EGU 60-PN-N-SD;3 - Automation Standard;3GE - Gripping Modules electric;4 - Casual customer;4 - Casual customer
1027535;3) Quote follow up done;Quotation is pending;12.02.2026;4) Buying customer;3549;736 92;27.02.2026;20.02.2026;2; 67 040 kr ;100%;;Sales representative;103;NSL3 150-V1;4 - Stationary Workholding;403 - Quick change pallet syst. Std.;4 - Casual customer;4 - Casual customer
1027536;2) Quote is ready;Quotation is ready;12.02.2026;4) Buying customer;3781;514 32;13.03.2026;;2; 10 937 kr ;50%;;Sales representative;109;Sugkoppar;3 - Automation Standard;3MS;4 - Casual customer;4 - Casual customer
1027523;3) Quote follow up done;Quotation is pending;12.02.2026;5) Lost customer;52206;906 21;19.02.2026;12.02.2026;3; 153 200 kr ;50%;;Sales representative;104;Offert;3 - Automation Standard;3GE - Gripping Modules electric;4 - Casual customer;4 - Casual customer
1027526;5) Quote not realized;Quote for information purposes;12.02.2026;4) Buying customer;2669;431 37;;;2; 1 600 kr ;100%;;Sales representative;107;Offert;2 - Toolholding Systems;2ZB - Intermediate Sleeve;4 - Casual customer;4 - Casual customer
1027528;4) Order received;Order is entered;12.02.2026;4) Buying customer;1594;254 66;;;1; 10 043 kr ;100%;116716;Sales representative;105;1660 / P848;3 - Automation Standard;3GP - Gripping Modules pneumatic;2 - Prospect customer;2 - Prospect customer
1027530;4) Order received;Order is entered;12.02.2026;4) Buying customer;1996;335 31;;;2; 995 kr ;100%;116725;Sales representative;105;Schmalz;3 - Automation Standard;3MS;4 - Casual customer;2 - Prospect customer
1027529;3) Quote follow up done;Quotation is pending;12.02.2026;4) Buying customer;1063;702 27;27.02.2026;17.02.2026;3; 52 655 kr ;50%;;Sales representative;104;Q25006;3 - Automation Standard;3GP - Gripping Modules pneumatic;3 - Maxed sales customer;4 - Casual customer
1027524;4) Order received;Order is entered;11.02.2026;4) Buying customer;51021;223 70;;;3; 4 873 kr ;100%;116722;Sales representative;105;Offert;3 - Automation Standard;3MS;4 - Casual customer;4 - Casual customer
1027525;5) Quote not realized;Quote for information purposes;11.02.2026;4) Buying customer;1006;561 31;;;1; 5 453 kr ;50%;;Sales representative;109;Offert;3 - Automation Standard;3RW;3 - Maxed sales customer;2 - Prospect customer
1027510;4) Order received;Order is entered;11.02.2026;4) Buying customer;1036;572 36;;;1; 1 754 kr ;100%;116690;Sales representative;106;RFQ IR1779204;3 - Automation Standard;3MS;2 - Prospect customer;4 - Casual customer
1027511;2) Quote is ready;Quotation is ready;11.02.2026;4) Buying customer;50947;291 67;19.02.2026;;2; 16 754 kr ;100%;;Sales representative;111;Backar;4 - Stationary Workholding;401 - Clamping systems Std.;3 - Maxed sales customer;4 - Casual customer
1027512;4) Order received;Order is entered;11.02.2026;4) Buying customer;3645;352 45;;;1; 3 458 kr ;100%;116728;Sales representative;111;Slitdelar 88042966 ZENTRICO;8 - Lathe Chucks;8LU - Steady rests;4 - Casual customer;2 - Prospect customer
1027514;2) Quote is ready;Quotation is ready;11.02.2026;4) Buying customer;50645;632 17;19.02.2026;;1; 19 734 kr ;100%;;Sales representative;104;Prisförfrågan RC SCHUNK;5 - Automation System Solutions;5BL - Assembly Groups;4 - Casual customer;4 - Casual customer
1027515;4) Order received;Order is entered;11.02.2026;4) Buying customer;1996;335 31;;;2; 77 kr ;100%;116725;Sales representative;105;Offert;3 - Automation Standard;3MS;4 - Casual customer;2 - Prospect customer
1027516;4) Order received;Order is entered;11.02.2026;4) Buying customer;4356;594 72;;;3; 3 996 kr ;100%;116691;Sales representative;106;Offert;3 - Automation Standard;3ZO - Accessories Automation;2 - Prospect customer;2 - Prospect customer
1027517;4) Order received;Order is entered;11.02.2026;4) Buying customer;1038;747 44;;;3; 24 095 kr ;100%;116712;Sales representative;104;Offert;3 - Automation Standard;3GP - Gripping Modules pneumatic;2 - Prospect customer;1 - Top customer
1027518;3) Quote follow up done;Quotation is pending;11.02.2026;4) Buying customer;52082;792 36;27.02.2026;20.02.2026;6; 156 104 kr ;100%;;Sales representative;103;Nordiqon-Magnetbord;4 - Stationary Workholding;406 - Magnetic Clamp. Techn. Special;4 - Casual customer;2 - Prospect customer
1027509;4) Order received;Order is entered;11.02.2026;4) Buying customer;1417;815 44;;;3; 2 010 kr ;100%;116693;Sales representative;104;Offert;3 - Automation Standard;3ZO - Accessories Automation;2 - Prospect customer;2 - Prospect customer
1027519;4) Order received;Order is entered;11.02.2026;4) Buying customer;2415;417 07;;;1; 7 393 kr ;100%;116723;Sales representative;107;Tendo;2 - Toolholding Systems;2TS - TENDO;4 - Casual customer;2 - Prospect customer
1027520;4) Order received;Order is entered;11.02.2026;4) Buying customer;3645;352 45;;;1; 50 565 kr ;100%;116731;Sales representative;111;Zentrico;8 - Lathe Chucks;8LU - Steady rests;4 - Casual customer;2 - Prospect customer
1027522;4) Order received;Order is entered;11.02.2026;4) Buying customer;2927;231 34;;11.02.2026;1; 27 988 kr ;100%;116703;Sales representative;111;Offert;4 - Stationary Workholding;401 - Clamping systems Std.;4 - Casual customer;4 - Casual customer
1027507;3) Quote follow up done;Quotation is pending;11.02.2026;4) Buying customer;2098;553 03;27.02.2026;20.02.2026;0; 102 621 kr ;50%;;Sales representative;109;kanelsnäckor;3 - Automation Standard;3DE - Rotary Modules electric;4 - Casual customer;4 - Casual customer
1027372;3) Quote follow up done;Quotation is pending;11.02.2026;4) Buying customer;52080;136 50;27.02.2026;17.02.2026;2; 84 029 kr ;50%;;Sales representative;104;Offert;3 - Automation Standard;3RA -;4 - Casual customer;4 - Casual customer
1027502;4) Order received;Order is entered;10.02.2026;4) Buying customer;2477;261 44;;;6; 24 350 kr ;100%;116721;Sales representative;111;5945_AU_JR_Huhnseal_Backar;1 - Chuck Jaws;1XO - Jaws Standard;4 - Casual customer;4 - Casual customer
1027508;3) Quote follow up done;Quotation is pending;10.02.2026;4) Buying customer;53198;514 32;27.03.2026;17.02.2026;7; 13 005 kr ;90%;;Sales representative;109;Vakuum komponenter;3 - Automation Standard;3MS;4 - Casual customer;4 - Casual customer
1027504;4) Order received;Order is entered;10.02.2026;4) Buying customer;3538;671 34;;;7; 4 648 kr ;100%;116695;Sales representative;104;Analog position sensor APS-M1S;3 - Automation Standard;3ZO - Accessories Automation;3 - Maxed sales customer;4 - Casual customer
1027505;4) Order received;Order is entered;10.02.2026;4) Buying customer;1243;415 50;;;7; 24 927 kr ;100%;116729;Sales representative;109;Reservdelar till suglåda;3 - Automation Standard;3MS;1 - Top customer;2 - Prospect customer
1027506;4) Order received;Order is entered;10.02.2026;4) Buying customer;50495;334 33;;;7; 14 492 kr ;100%;116758;Sales representative;105;Vakuumverktyg SLG;3 - Automation Standard;3MS;3 - Maxed sales customer;2 - Prospect customer
1027500;4) Order received;Order is entered;10.02.2026;4) Buying customer;52082;792 36;;;1; 234 280 kr ;100%;116857;Sales representative;103;KSC3 160-280;4 - Stationary Workholding;401 - Clamping systems Std.;4 - Casual customer;2 - Prospect customer
1027501;4) Order received;Order is entered;10.02.2026;4) Buying customer;1224;541 34;;23.02.2026;1; 5 792 kr ;50%;116915;Sales representative;107;g2 op110 t1308 / Ärende: 9323;2 - Toolholding Systems;2RS - Service Workholding;1 - Top customer;1 - Top customer
1027496;4) Order received;Order is entered;09.02.2026;4) Buying customer;50629;564 35;;;1; 268 098 kr ;100%;116684;Sales representative;107;Förfrågan på Schunkpuckar mm;4 - Stationary Workholding;403 - Quick change pallet syst. Std.;4 - Casual customer;4 - Casual customer
1027498;4) Order received;Order is entered;09.02.2026;4) Buying customer;1996;335 31;;;2; 13 838 kr ;100%;116649;Sales representative;105;Offert;3 - Automation Standard;3GP - Gripping Modules pneumatic;4 - Casual customer;2 - Prospect customer
1027499;5) Quote not realized;Quote for information purposes;09.02.2026;4) Buying customer;52844;901 32;;09.02.2026;3; 159 400 kr ;15%;;Sales representative;104;Offert;3 - Automation Standard;3GP - Gripping Modules pneumatic;4 - Casual customer;4 - Casual customer
1027494;4) Order received;Order is entered;09.02.2026;4) Buying customer;52344;519 96;;;8; 858 kr ;100%;116626;Sales representative;107;Reservdelar;2 - Toolholding Systems;2ZA - Accessories;4 - Casual customer;4 - Casual customer
1027495;4) Order received;Order is entered;09.02.2026;4) Buying customer;1224;541 34;;18.02.2026;1;;99%;116881;Sales representative;109;S226516-206 / Ärende: 9331;5 - Automation System Solutions;5SK - Special components;1 - Top customer;1 - Top customer
1027490;2) Quote is ready;Quotation is ready;09.02.2026;4) Buying customer;2994;352 50;12.02.2026;;2; 66 512 kr ;100%;;Sales representative;111;Offert;4 - Stationary Workholding;401 - Clamping systems Std.;4 - Casual customer;2 - Prospect customer
1027439;4) Order received;Order is entered;09.02.2026;4) Buying customer;1006;561 31;;;1; 69 593 kr ;100%;116784;Sales representative;109;Manuell växling;3 - Automation Standard;3RW;3 - Maxed sales customer;2 - Prospect customer
1027235;3) Quote follow up done;Quotation is pending;06.02.2026;4) Buying customer;2805;541 34;11.02.2026;05.02.2026;1; 231 138 kr ;50%;;Sales representative;107;NSL3 200;4 - Stationary Workholding;403 - Quick change pallet syst. Std.;1 - Top customer;2 - Prospect customer
1027468;3) Quote follow up done;Quotation is pending;06.02.2026;4) Buying customer;1640;392 39;19.03.2026;18.02.2026;6; 32 200 kr ;50%;;Sales representative;111;5941_AU_JR_Beros_Adapter Hilma;1 - Chuck Jaws;1XO - Jaws Standard;2 - Prospect customer;1 - Top customer
1027474;4) Order received;Order is entered;06.02.2026;4) Buying customer;53279;393 61;;;3; 225 165 kr ;100%;116635;Sales representative;105;Offert;3 - Automation Standard;3GP - Gripping Modules pneumatic;4 - Casual customer;4 - Casual customer
1027482;4) Order received;Order is entered;06.02.2026;4) Buying customer;1627;702 15;;;2; 10 802 kr ;100%;116606;Sales representative;103;Offert;1 - Chuck Jaws;1XS - Jaws Special;4 - Casual customer;2 - Prospect customer
